akcie_id;datum;cena_nakup;cena_prodej
1;2015-04-30;5360,00;5451,00
1;2015-04-29;5377,00;5361,00
1;2015-04-28;5340,00;5383,00
1;2015-04-27;5464,00;5351,00
1;2015-04-24;5381,00;5437,00
1;2015-04-23;5380,00;5390,00
1;2015-04-22;5426,00;5380,00
1;2015-04-21;5466,00;5485,00
1;2015-04-20;5460,00;5500,00
1;2015-04-17;5401,00;5395,00
1;2015-04-16;5335,00;5403,00
1;2015-04-15;5235,00;5329,00
1;2015-04-14;5504,00;5535,00
1;2015-04-13;5485,00;5500,00
1;2015-04-10;5490,00;5498,00
1;2015-04-09;5492,00;5475,00
1;2015-04-08;5521,00;5507,00
1;2015-04-07;5516,00;5533,00
1;2015-04-02;5535,00;5530,00
1;2015-04-01;5483,00;5535,00
1;2015-03-31;5558,00;5540,00
1;2015-03-30;5421,00;5528,00
1;2015-03-27;5455,00;5400,00
1;2015-03-26;5540,00;5495,00
1;2015-03-25;5560,00;5552,00
1;2015-03-24;5555,00;5558,00
1;2015-03-23;5590,00;5555,00
1;2015-03-20;5677,00;5600,00
1;2015-03-19;5629,00;5667,00
1;2015-03-18;5596,00;5629,00
1;2015-03-17;5490,00;5600,00
1;2015-03-16;5565,00;5492,00
1;2015-03-13;5404,00;5590,00
1;2015-03-12;5419,00;5429,00
1;2015-03-11;5357,00;5370,00
1;2015-03-10;5360,00;5337,00
1;2015-03-09;5490,00;5370,00
1;2015-03-06;5429,00;5484,00
1;2015-03-05;5244,00;5429,00
1;2015-03-04;5270,00;5243,00
1;2015-03-03;5330,00;5261,00
1;2015-03-02;5320,00;5330,00
1;2015-02-27;5380,00;5304,00
1;2015-02-26;5494,00;5376,00
1;2015-02-25;5447,00;5480,00
1;2015-02-24;5435,00;5455,00
1;2015-02-23;5430,00;5440,00
1;2015-02-20;5430,00;5435,00
1;2015-02-19;5275,00;5392,00
1;2015-02-18;5350,00;5265,00
1;2015-02-17;5485,00;5350,00
1;2015-02-16;5559,00;5525,00
1;2015-02-13;5390,00;5582,00
1;2015-02-12;5261,00;5399,00
1;2015-02-11;5140,00;5135,00
1;2015-02-10;5112,00;5125,00
