datum,hodnota
2015-04-30,1026
2015-04-29,1025
2015-04-28,1031
2015-04-27,1042
2015-04-24,1049
2015-04-23,1042
2015-04-22,1043
2015-04-21,1057
2015-04-20,1051
2015-04-17,1049
2015-04-16,1057
2015-04-15,1051
2015-04-14,1053
2015-04-13,1058
2015-04-10,1052
2015-04-09,1053
2015-04-08,1048
2015-04-07,1051
2015-04-02,1049
2015-04-01,1044
2015-03-31,1034
2015-03-30,1031
2015-03-27,1023
2015-03-26,1032
2015-03-25,1043
2015-03-24,1049
2015-03-23,1045
2015-03-20,1045
2015-03-19,1043
2015-03-18,1031
2015-03-17,1032
2015-03-16,1036
2015-03-13,1036
2015-03-12,1023
2015-03-11,1016
2015-03-10,1012
2015-03-09,1024
2015-03-06,1037
2015-03-05,1029
2015-03-04,1014
2015-03-03,1017
2015-03-02,1025
2015-02-27,1023
2015-02-26,1028
2015-02-25,1029
2015-02-24,1026
2015-02-23,1020
2015-02-20,1016
2015-02-19,1007
2015-02-18,1007
2015-02-17,1008
2015-02-16,1018
2015-02-13,1023
2015-02-12,1010
2015-02-11,988
2015-02-10,990
2015-02-09,981
2015-02-06,979
2015-02-05,971
2015-02-04,980
2015-02-03,976
2015-02-02,958
2015-01-30,956
2015-01-29,954
2015-01-28,957
2015-01-27,971
2015-01-26,973
2015-01-23,962
2015-01-22,961
2015-01-21,953
2015-01-20,949
2015-01-19,951
2015-01-16,949
2015-01-15,946
2015-01-14,959
2015-01-13,963
2015-01-12,946
2015-01-09,946
2015-01-08,947
2015-01-07,933
2015-01-06,940
2015-01-05,943
2015-01-02,962
2014-12-30,947
2014-12-29,946
2014-12-23,952
2014-12-22,957
2014-12-19,945
2014-12-18,951
2014-12-17,941
2014-12-16,945
2014-12-15,961
2014-12-12,971
2014-12-11,984
2014-12-10,995
2014-12-09,992
2014-12-08,1008
2014-12-05,1006
2014-12-04,1001
2014-12-03,1020
2014-12-02,1008
2014-12-01,1007
2014-11-28,1007
2014-11-27,1002
2014-11-26,995
2014-11-25,988
2014-11-24,981
2014-11-21,980
2014-11-20,971
2014-11-19,981
2014-11-18,973
2014-11-14,961
2014-11-13,959
2014-11-12,965
2014-11-11,975
2014-11-10,976
2014-11-07,969
2014-11-06,963
2014-11-05,963
2014-11-04,973
2014-11-03,975
2014-10-31,981
2014-10-30,965
2014-10-29,957
2014-10-27,965
2014-10-24,950
2014-10-23,947
2014-10-22,942
2014-10-21,939
2014-10-20,926
2014-10-17,927
2014-10-16,901
2014-10-15,924
2014-10-14,939
2014-10-13,950
2014-10-10,952
2014-10-09,962
2014-10-08,960
2014-10-07,964
2014-10-06,978
2014-10-03,976
2014-10-02,974
2014-10-01,989
2014-09-30,991
2014-09-29,986
2014-09-26,980
2014-09-25,982
2014-09-24,977
2014-09-23,983
2014-09-22,994
2014-09-19,1003
2014-09-18,996
2014-09-17,985
2014-09-16,978
2014-09-15,991
2014-09-12,997
2014-09-11,995
2014-09-10,998
2014-09-09,998
2014-09-08,995
2014-09-05,997
2014-09-04,993
2014-09-03,991
2014-09-02,989
2014-09-01,981
2014-08-29,980
2014-08-28,976
2014-08-27,993
2014-08-26,993
2014-08-25,995
2014-08-22,987
2014-08-21,982
2014-08-20,977
2014-08-19,983
2014-08-18,985
2014-08-15,984
2014-08-14,976
2014-08-13,969
2014-08-12,958
2014-08-11,965
2014-08-08,951
2014-08-07,952
2014-08-06,950
2014-08-05,954
2014-08-04,952
2014-08-01,951
2014-07-31,957
2014-07-30,962
2014-07-29,962
2014-07-28,958
2014-07-25,962
2014-07-24,953
2014-07-23,951
2014-07-22,953
2014-07-21,946
2014-07-18,944
2014-07-17,958
2014-07-16,962
2014-07-15,960
2014-07-14,962
2014-07-11,961
2014-07-10,943
2014-07-09,948
2014-07-08,934
2014-07-07,952
2014-07-04,959
2014-07-03,997
2014-07-02,997
2014-07-01,1000
2014-06-30,1009
2014-06-27,1008
2014-06-26,1005
2014-06-25,1008
2014-06-24,1018
2014-06-23,1031
2014-06-20,1033
2014-06-19,1030
2014-06-18,1028
2014-06-17,1034
2014-06-16,1034
2014-06-13,1033
2014-06-12,1037
2014-06-11,1038
2014-06-10,1041
2014-06-09,1035
2014-06-06,1036
2014-06-05,1030
2014-06-04,1026
2014-06-03,1032
2014-06-02,1028
2014-05-30,1027
2014-05-29,1016
2014-05-28,1015
2014-05-27,1009
2014-05-26,1007
2014-05-23,998
2014-05-22,992
2014-05-21,986
2014-05-20,990
2014-05-19,986
2014-05-16,986
2014-05-15,981
2014-05-14,987
2014-05-13,994
2014-05-12,1004
2014-05-09,1005
2014-05-07,1008
2014-05-06,1011
2014-05-05,1009
2014-05-02,1011
2014-04-30,1010
2014-04-29,1009
2014-04-28,996
2014-04-25,993
2014-04-24,1002
2014-04-23,1008
2014-04-22,1012
2014-04-17,1006
2014-04-16,1002
2014-04-15,996
2014-04-14,994
2014-04-11,993
2014-04-10,1005
2014-04-09,1003
2014-04-08,992
2014-04-07,1013
2014-04-04,1018
2014-04-03,1016
2014-04-02,1018
2014-04-01,1017
2014-03-31,1006
2014-03-28,1006
2014-03-27,996
2014-03-26,1002
2014-03-25,994
2014-03-24,990
2014-03-21,992
2014-03-20,985
2014-03-19,989
2014-03-18,986
2014-03-17,978
2014-03-14,950
2014-03-13,970
2014-03-12,968
2014-03-11,985
2014-03-10,991
2014-03-07,1002
2014-03-06,1009
2014-03-05,1005
2014-03-04,1002
2014-03-03,991
2014-02-28,1015
2014-02-27,1014
2014-02-26,1020
2014-02-25,1030
2014-02-24,1039
2014-02-21,1046
2014-02-20,1036
2014-02-19,1038
2014-02-18,1037
2014-02-17,1033
2014-02-14,1027
2014-02-13,1017
2014-02-12,1018
2014-02-11,1002
2014-02-10,1006
2014-02-07,1001
2014-02-06,1005
2014-02-05,985
2014-02-04,981
2014-02-03,987
2014-01-31,991
2014-01-30,994
2014-01-29,991
2014-01-28,1004
2014-01-27,999
2014-01-24,1015
2014-01-23,1027
2014-01-22,1030
2014-01-21,1026
2014-01-20,1026
2014-01-17,1027
2014-01-16,1026
2014-01-15,1036
2014-01-14,1023
2014-01-13,1028
2014-01-10,1009
2014-01-09,999
2014-01-08,996
2014-01-07,988
2014-01-06,990
2014-01-03,993
2014-01-02,994
2013-12-30,989
2013-12-27,987
2013-12-23,983
2013-12-20,978
2013-12-19,975
2013-12-18,974
2013-12-17,962
2013-12-16,966
2013-12-13,956
2013-12-12,966
2013-12-11,978
2013-12-10,972
2013-12-09,972
2013-12-06,975
2013-12-05,983
2013-12-04,998
2013-12-03,1010
2013-12-02,1021
2013-11-29,1032
2013-11-28,1027
2013-11-27,1026
2013-11-26,1013
2013-11-25,1021
2013-11-22,1019
2013-11-21,1012
2013-11-20,1014
2013-11-19,1017
2013-11-18,1022
2013-11-15,1009
2013-11-14,1002
2013-11-13,999
2013-11-12,1017
2013-11-11,1023
2013-11-08,1019
2013-11-07,1041
2013-11-06,1028
2013-11-05,1013
2013-11-04,1026
2013-11-01,1014
2013-10-31,1015
2013-10-30,1017
2013-10-29,1017
2013-10-25,991
2013-10-24,991
2013-10-23,990
2013-10-22,998
2013-10-21,997
2013-10-18,989
2013-10-17,979
2013-10-16,982
2013-10-15,976
2013-10-14,967
2013-10-11,963
2013-10-10,966
2013-10-09,961
2013-10-08,962
2013-10-07,964
2013-10-04,962
2013-10-03,961
2013-10-02,969
2013-10-01,967
2013-09-30,958
2013-09-27,960
2013-09-26,957
2013-09-25,960
2013-09-24,962
2013-09-23,957
2013-09-20,952
2013-09-19,974
2013-09-18,975
2013-09-17,978
2013-09-16,981
2013-09-13,968
2013-09-12,977
2013-09-11,978
2013-09-10,972
2013-09-09,952
2013-09-06,947
2013-09-05,950
2013-09-04,937
2013-09-03,944
2013-09-02,944
2013-08-30,945
2013-08-29,950
2013-08-28,945
2013-08-27,952
2013-08-26,964
2013-08-23,968
2013-08-22,962
2013-08-21,958
2013-08-20,961
2013-08-19,976
2013-08-16,982
2013-08-15,971
2013-08-14,983
2013-08-13,983
2013-08-12,970
2013-08-09,972
2013-08-08,971
2013-08-07,956
2013-08-06,950
2013-08-05,948
2013-08-02,948
2013-08-01,935
2013-07-31,919
2013-07-30,917
2013-07-29,910
2013-07-26,912
2013-07-25,906
2013-07-24,905
2013-07-23,895
2013-07-22,882
2013-07-19,884
2013-07-18,892
2013-07-17,886
2013-07-16,888
2013-07-15,896
2013-07-12,899
2013-07-11,886
2013-07-10,871
2013-07-09,868
2013-07-08,876
2013-07-04,873
2013-07-03,867
2013-07-02,881
2013-07-01,876
2013-06-28,878
2013-06-27,872
2013-06-26,862
2013-06-25,853
2013-06-24,855
2013-06-21,878
2013-06-20,898
2013-06-19,925
2013-06-18,925
2013-06-17,924
2013-06-14,927
2013-06-13,928
2013-06-12,935
2013-06-11,943
2013-06-10,950
2013-06-07,957
2013-06-06,957
2013-06-05,963
2013-06-04,968
2013-06-03,955
2013-05-31,958
2013-05-30,975
2013-05-29,980
2013-05-28,986
2013-05-27,981
2013-05-24,971
2013-05-23,979
2013-05-22,989
2013-05-21,986
2013-05-20,983
2013-05-17,983
2013-05-16,985
2013-05-15,981
2013-05-14,975
2013-05-13,968
2013-05-10,966
2013-05-09,969
2013-05-07,970
2013-05-06,967
2013-05-03,964
2013-05-02,961
2013-04-30,968
2013-04-29,964
2013-04-26,958
2013-04-25,964
2013-04-24,966
2013-04-23,959
2013-04-22,954
2013-04-19,942
2013-04-18,931
2013-04-17,950
2013-04-16,959
2013-04-15,960
2013-04-12,978
2013-04-11,978
2013-04-10,968
2013-04-09,947
2013-04-08,942
2013-04-05,947
2013-04-04,955
2013-04-03,967
2013-04-02,978
2013-03-28,963
2013-03-27,954
2013-03-26,960
2013-03-25,967
2013-03-22,981
2013-03-21,983
2013-03-20,982
2013-03-19,981
2013-03-18,988
2013-03-15,995
2013-03-14,1019
2013-03-13,1017
2013-03-12,1024
2013-03-11,1034
2013-03-08,1039
2013-03-07,1028
2013-03-06,1029
2013-03-05,1017
2013-03-04,1006
2013-03-01,1013
2013-02-28,1015
2013-02-27,996
2013-02-26,993
2013-02-25,1014
2013-02-22,1000
2013-02-21,993
2013-02-20,1004
2013-02-19,1001
2013-02-18,1001
2013-02-15,1004
2013-02-14,999
2013-02-13,1010
2013-02-12,1002
2013-02-11,999
2013-02-08,994
2013-02-07,986
2013-02-06,994
2013-02-05,999
2013-02-04,1008
2013-02-01,1017
2013-01-31,1021
2013-01-30,1018
2013-01-29,1020
2013-01-28,1013
2013-01-25,1024
2013-01-24,1022
2013-01-23,1027
2013-01-22,1025
2013-01-21,1030
2013-01-18,1043
2013-01-17,1042
2013-01-16,1039
2013-01-15,1042
2013-01-14,1047
2013-01-11,1054
2013-01-10,1048
2013-01-09,1066
2013-01-08,1061
2013-01-07,1055
2013-01-04,1062
2013-01-03,1063
2013-01-02,1066
2012-12-28,1039
2012-12-27,1036
2012-12-21,1036
2012-12-20,1034
2012-12-19,1041
2012-12-18,1031
2012-12-17,1011
2012-12-14,1008
2012-12-13,1002
2012-12-12,1002
2012-12-11,993
2012-12-10,986
2012-12-07,994
2012-12-06,1000
2012-12-05,998
2012-12-04,994
2012-12-03,994
2012-11-30,997
2012-11-29,992
2012-11-28,976
2012-11-27,995
2012-11-26,983
2012-11-23,977
2012-11-22,963
2012-11-21,963
2012-11-20,970
2012-11-19,975
2012-11-16,970
2012-11-15,969
2012-11-14,974
2012-11-13,966
2012-11-12,978
2012-11-09,980
2012-11-08,985
2012-11-07,989
2012-11-06,996
2012-11-05,988
2012-11-02,981
2012-11-01,976
2012-10-31,971
2012-10-30,970
2012-10-29,959
2012-10-26,964
2012-10-25,977
2012-10-24,976
2012-10-23,972
2012-10-22,990
2012-10-19,988
2012-10-18,994
2012-10-17,995
2012-10-16,995
2012-10-15,987
2012-10-12,986
2012-10-11,986
2012-10-10,984
2012-10-09,986
2012-10-08,986
2012-10-05,986
2012-10-04,969
2012-10-03,964
2012-10-02,960
2012-10-01,968
2012-09-27,953
2012-09-26,944
2012-09-25,964
2012-09-24,961
2012-09-21,963
2012-09-20,956
2012-09-19,966
2012-09-18,967
2012-09-17,970
2012-09-14,978
2012-09-13,954
2012-09-12,964
2012-09-11,953
2012-09-10,956
2012-09-07,968
2012-09-06,952
2012-09-05,945
2012-09-04,945
2012-09-03,949
2012-08-31,952
2012-08-30,939
2012-08-29,938
2012-08-28,943
2012-08-27,954
2012-08-24,946
2012-08-23,955
2012-08-22,957
2012-08-21,951
2012-08-20,939
2012-08-17,948
2012-08-16,941
2012-08-15,935
2012-08-14,931
2012-08-13,922
2012-08-10,926
2012-08-09,925
2012-08-08,915
2012-08-07,918
2012-08-06,914
2012-08-03,899
2012-08-02,889
2012-08-01,894
2012-07-31,891
2012-07-30,906
2012-07-27,896
2012-07-26,888
2012-07-25,880
2012-07-24,879
2012-07-23,876
2012-07-20,898
2012-07-19,910
2012-07-18,902
2012-07-17,908
2012-07-16,901
2012-07-13,904
2012-07-12,897
2012-07-11,907
2012-07-10,904
2012-07-09,908
2012-07-04,916
2012-07-03,913
2012-07-02,912
2012-06-29,901
2012-06-28,881
2012-06-27,886
2012-06-26,884
2012-06-25,878
2012-06-22,900
2012-06-21,902
2012-06-20,897
2012-06-19,900
2012-06-18,885
2012-06-15,886
2012-06-14,876
2012-06-13,874
2012-06-12,870
2012-06-11,880
2012-06-08,886
2012-06-07,893
2012-06-06,881
2012-06-05,875
2012-06-04,864
2012-06-01,859
2012-05-31,866
2012-05-30,877
2012-05-29,878
2012-05-28,866
2012-05-25,870
2012-05-24,879
2012-05-23,878
2012-05-22,882
2012-05-21,873
2012-05-18,869
2012-05-17,868
2012-05-16,876
2012-05-15,876
2012-05-14,893
2012-05-11,910
2012-05-10,912
2012-05-09,893
2012-05-07,916
2012-05-04,919
2012-05-03,925
2012-05-02,933
2012-04-30,939
2012-04-27,935
2012-04-26,930
2012-04-25,935
2012-04-24,922
2012-04-23,911
2012-04-20,927
2012-04-19,918
2012-04-18,923
2012-04-17,921
2012-04-16,919
2012-04-13,931
2012-04-12,940
2012-04-11,940
2012-04-10,926
2012-04-06,928
2012-04-05,935
2012-04-04,946
2012-04-03,965
2012-04-02,968
2012-03-30,973
2012-03-29,969
2012-03-28,987
2012-03-27,990
2012-03-26,988
2012-03-23,988
2012-03-22,990
2012-03-21,992
2012-03-20,993
2012-03-19,999
2012-03-16,994
2012-03-15,993
2012-03-14,1000
2012-03-13,993
2012-03-12,986
2012-03-09,998
2012-03-08,997
2012-03-07,991
2012-03-06,990
2012-03-05,1003
2012-03-02,1018
2012-03-01,1018
2012-02-29,1012
2012-02-28,993
2012-02-27,1004
2012-02-24,1001
2012-02-23,995
2012-02-22,1014
2012-02-21,1016
2012-02-20,1018
2012-02-17,1015
2012-02-16,996
2012-02-15,1007
2012-02-14,1005
2012-02-13,1010
2012-02-10,991
2012-02-09,1026
2012-02-08,1024
2012-02-07,1002
2012-02-06,1011
2012-02-03,1010
2012-02-02,998
2012-02-01,983
2012-01-31,971
2012-01-30,948
2012-01-27,968
2012-01-26,978
2012-01-25,946
2012-01-24,947
2012-01-23,957
2012-01-20,935
2012-01-19,918
2012-01-18,902
2012-01-17,889
2012-01-16,896
2012-01-13,891
2012-01-12,898
2012-01-11,891
2012-01-10,898
2012-01-09,885
2012-01-06,894
2012-01-05,902
2012-01-04,927
2012-01-03,934
2012-01-02,924
2011-12-30,911
2011-12-29,906
2011-12-28,905
2011-12-27,906
2011-12-23,899
2011-12-22,892
2011-12-21,880
2011-12-20,868
2011-12-19,853
2011-12-16,857
2011-12-15,857
2011-12-14,854
2011-12-13,862
2011-12-12,860
2011-12-09,873
2011-12-08,876
2011-12-07,880
2011-12-06,890
2011-12-05,901
2011-12-02,888
2011-12-01,874
2011-11-30,879
2011-11-29,843
2011-11-28,859
2011-11-25,843
2011-11-24,852
2011-11-23,845
2011-11-22,846
2011-11-21,855
2011-11-18,871
2011-11-16,886
2011-11-15,892
2011-11-14,907
2011-11-11,910
2011-11-10,902
2011-11-09,904
2011-11-08,909
2011-11-07,902
2011-11-04,918
2011-11-03,923
2011-11-02,905
2011-11-01,897
2011-10-31,930
2011-10-27,968
2011-10-26,953
2011-10-25,945
2011-10-24,940
2011-10-21,931
2011-10-20,916
2011-10-19,927
2011-10-18,925
2011-10-17,918
2011-10-14,936
2011-10-13,942
2011-10-12,948
2011-10-11,924
2011-10-10,933
2011-10-07,950
2011-10-06,937
2011-10-05,899
2011-10-04,891
2011-10-03,918
2011-09-30,934
2011-09-29,941
2011-09-27,934
2011-09-26,902
2011-09-23,864
2011-09-22,896
2011-09-21,929
2011-09-20,907
2011-09-19,907
2011-09-16,951
2011-09-15,968
2011-09-14,945
2011-09-13,947
2011-09-12,947
2011-09-09,984
2011-09-08,1007
2011-09-07,995
2011-09-06,974
2011-09-05,971
2011-09-02,1024
2011-09-01,1040
2011-08-31,1048
2011-08-30,1030
2011-08-29,1030
2011-08-26,1015
2011-08-25,1025
2011-08-24,1015
2011-08-23,999
2011-08-22,1000
2011-08-19,988
2011-08-18,1006
2011-08-17,1022
2011-08-16,1005
2011-08-15,1017
2011-08-12,989
2011-08-11,987
2011-08-10,979
2011-08-09,1001
2011-08-08,1027
2011-08-05,1092
2011-08-04,1121
2011-08-03,1146
2011-08-02,1168
2011-08-01,1179
2011-07-29,1175
2011-07-28,1176
2011-07-27,1180
2011-07-26,1186
2011-07-25,1205
2011-07-22,1205
2011-07-21,1210
2011-07-20,1194
2011-07-19,1186
2011-07-18,1187
2011-07-15,1199
2011-07-14,1201
2011-07-13,1205
2011-07-12,1195
2011-07-11,1202
2011-07-08,1220
2011-07-07,1230
2011-07-04,1232
2011-07-01,1236
2011-06-30,1225
2011-06-29,1216
2011-06-28,1194
2011-06-27,1192
2011-06-24,1205
2011-06-23,1210
2011-06-22,1225
2011-06-21,1230
2011-06-20,1212
2011-06-17,1217
2011-06-16,1214
2011-06-15,1226
2011-06-14,1225
2011-06-13,1227
2011-06-10,1215
2011-06-09,1207
2011-06-08,1218
2011-06-07,1225
2011-06-06,1226
2011-06-03,1232
2011-06-02,1240
2011-06-01,1246
2011-05-31,1249
2011-05-30,1238
2011-05-27,1239
2011-05-26,1241
2011-05-25,1241
2011-05-24,1247
2011-05-23,1245
2011-05-20,1255
2011-05-19,1254
2011-05-18,1245
2011-05-17,1252
2011-05-16,1257
2011-05-13,1266
2011-05-12,1260
2011-05-11,1268
2011-05-10,1265
2011-05-09,1266
2011-05-06,1262
2011-05-05,1259
2011-05-04,1273
2011-05-03,1263
2011-05-02,1275
2011-04-29,1261
2011-04-28,1264
2011-04-27,1264
2011-04-26,1248
2011-04-22,1252
2011-04-21,1255
2011-04-20,1242
2011-04-19,1233
2011-04-18,1223
2011-04-15,1240
2011-04-14,1235
2011-04-13,1250
2011-04-12,1237
2011-04-11,1264
2011-04-08,1271
2011-04-07,1273
2011-04-06,1275
2011-04-05,1264
2011-04-04,1268
2011-04-01,1257
2011-03-31,1257
2011-03-30,1261
2011-03-29,1259
2011-03-28,1257
2011-03-25,1245
2011-03-24,1240
2011-03-23,1226
2011-03-22,1220
2011-03-21,1223
2011-03-18,1211
2011-03-17,1207
2011-03-16,1202
2011-03-15,1206
2011-03-14,1208
2011-03-11,1217
2011-03-10,1212
2011-03-09,1220
2011-03-08,1219
2011-03-07,1223
2011-03-04,1233
2011-03-03,1238
2011-03-02,1229
2011-03-01,1231
2011-02-28,1244
2011-02-25,1241
2011-02-24,1238
2011-02-23,1242
2011-02-22,1241
2011-02-21,1243
2011-02-18,1237
2011-02-17,1231
2011-02-16,1250
2011-02-15,1247
2011-02-14,1251
2011-02-11,1238
2011-02-10,1236
2011-02-09,1251
2011-02-08,1245
2011-02-07,1249
2011-02-04,1255
2011-02-03,1233
2011-02-02,1246
2011-02-01,1247
2011-01-31,1237
2011-01-28,1227
2011-01-27,1248
2011-01-26,1245
2011-01-25,1235
2011-01-24,1256
2011-01-21,1268
2011-01-20,1255
2011-01-19,1272
2011-01-18,1276
2011-01-17,1255
2011-01-14,1242
2011-01-13,1247
2011-01-12,1244
2011-01-11,1230
2011-01-10,1215
2011-01-07,1243
2011-01-06,1253
2011-01-05,1243
2011-01-04,1254
2011-01-03,1243
2010-12-30,1225
2010-12-29,1235
2010-12-28,1220
2010-12-27,1216
2010-12-23,1223
2010-12-22,1224
2010-12-21,1214
2010-12-20,1199
2010-12-17,1188
2010-12-16,1200
2010-12-15,1193
2010-12-14,1189
2010-12-13,1198
2010-12-10,1181
2010-12-09,1169
2010-12-08,1166
2010-12-07,1175
2010-12-06,1175
2010-12-03,1166
2010-12-02,1166
2010-12-01,1149
2010-11-30,1107
2010-11-29,1119
2010-11-26,1127
2010-11-25,1132
2010-11-24,1126
2010-11-23,1122
2010-11-22,1142
2010-11-19,1147
2010-11-18,1151
2010-11-16,1144
2010-11-15,1147
2010-11-12,1156
2010-11-11,1141
2010-11-10,1157
2010-11-09,1172
2010-11-08,1164
2010-11-05,1166
2010-11-04,1174
2010-11-03,1168
2010-11-02,1161
2010-11-01,1158
2010-10-29,1156
2010-10-27,1164
2010-10-26,1155
2010-10-25,1158
2010-10-22,1138
2010-10-21,1140
2010-10-20,1132
2010-10-19,1137
2010-10-18,1134
2010-10-15,1142
2010-10-14,1142
2010-10-13,1152
2010-10-12,1140
2010-10-11,1152
2010-10-08,1142
2010-10-07,1146
